# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.fastMisses,1692778003483000000,1692778022948000000,971111
FileNameCache.queries,1692778003483000000,1692778022948000000,7402657
MappedFileStorage.totalBytesMapped,1692778003483000000,1692778022948000000,71303168
FileNameCache.totalMisses,1692778003483000000,1692778022948000000,0
MappedFileStorage.storages,1692778003483000000,1692778022948000000,2
MappedFileStorage.totalPagesMapped,1692778003483000000,1692778022948000000,2
FilePageCache.maxRegisteredFiles,1692778003483000000,1692778022948000000,775
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1692778003483000000,1692778022948000000,325091328
StreamlinedBlobStorage.recordsAllocated,1692778003483000000,1692778022948000000,24560
StreamlinedBlobStorage.recordsDeleted,1692778003483000000,1692778022948000000,2069
FilePageCache.disposedBuffers,1692778003483000000,1692778022948000000,5
FilePageCache.pageLoadsAboveSizeThreshold,1692778003483000000,1692778022948000000,0
DirectByteBufferAllocator.disposed,1692778003483000000,1692778022948000000,0
FilePageCache.pageFastCacheHits,1692778003483000000,1692778022948000000,332129
StorageLockContext.competingThreads.max,1692778003483000000,1692778022948000000,0
DirectByteBufferAllocator.reclaimed,1692778003483000000,1692778022948000000,5
DirectByteBufferAllocator.hits,1692778003483000000,1692778022948000000,5
StreamlinedBlobStorage.recordsRelocated,1692778003483000000,1692778022948000000,0
FilePageCache.pageHits,1692778003483000000,1692778022948000000,0
StorageLockContext.competingThreads.avg,1692778003483000000,1692778022948000000,0.0
DirectByteBufferAllocator.misses,1692778003483000000,1692778022948000000,305
FilePageCache.totalPageDisposalsUs,1692778003483000000,1692778022948000000,775
FilePageCache.capacityInBytes,1692778003483000000,1692778022948000000,629145600
FilePageCache.totalPageLoadsUs,1692778003483000000,1692778022948000000,235923
FilePageCache.uncachedFileAccess,1692778003483000000,1692778022948000000,363
FilePageCache.maxCacheSizeInBytes,1692778003483000000,1692778022948000000,325091328
FilePageCache.pageLoads,1692778003483000000,1692778022948000000,310
StorageLockContext.competingThreads.90P,1692778003483000000,1692778022948000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1692778003483000000,1692778022948000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1692778003483000000,1692778022948000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1692778003483000000,1692778022948000000,249312
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1692778003483000000,1692778022948000000,1616640
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1692778003483000000,1692778022948000000,47
workspaceModel.mutableEntityStorage.modify.entity.ms,1692778003483000000,1692778022948000000,0
jps.global.get.library.ms,1692778003483000000,1692778022948000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1692778003483000000,1692778022948000000,0
workspaceModel.moduleBridge.before.changed.ms,1692778003483000000,1692778022948000000,31
workspaceModel.moduleManagerBridge.get.modules.ms,1692778003483000000,1692778022948000000,1
workspaceModel.mutableEntityStorage.add.diff.ms,1692778003483000000,1692778022948000000,3463
jps.library.entities.serializer.save.entities.ms,1692778003483000000,1692778022948000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1692778003483000000,1692778022948000000,3377
workspaceModel.save.cache.to.file.ms,1692778003483000000,1692778022948000000,1239
workspaceModel.mutableEntityStorage.resolve.ms,1692778003483000000,1692778022948000000,43
workspaceModel.moduleManagerBridge.create.module.instance.ms,1692778003483000000,1692778022948000000,0
jps.storage.jps.conf.reader.load.component.ms,1692778003483000000,1692778022948000000,18008
workspaceModel.orphan.listener.update.ms,1692778003483000000,1692778022948000000,3
jps.global.handle.changed.events.ms,1692778003483000000,1692778022948000000,0
jps.module.iml.entities.serializer.load.entities.ms,1692778003483000000,1692778022948000000,9690
jps.facet.change.listener.init.bridge.ms,1692778003483000000,1692778022948000000,11
workspaceModel.moduleBridgeLoader.loading.modules.ms,1692778003483000000,1692778022948000000,13457
jps.facet.change.listener.process.change.events.ms,1692778003483000000,1692778022948000000,107
jps.module.iml.entities.serializer.save.entities.ms,1692778003483000000,1692778022948000000,0
jps.global.handle.before.change.events.ms,1692778003483000000,1692778022948000000,0
workspaceModel.global.updates.count,1692778003483000000,1692778022948000000,0
jps.project.serializers.load.ms,1692778003483000000,1692778022948000000,5296
jps.artifact.entities.serializer.load.entities.ms,1692778003483000000,1692778022948000000,9389
workspaceModel.moduleManagerBridge.load.module.ms,1692778003483000000,1692778022948000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1692778003483000000,1692778022948000000,2
workspaceModel.load.cache.from.file.ms,1692778003483000000,1692778022948000000,0
jps.library.entities.serializer.load.entities.ms,1692778003483000000,1692778022948000000,7159
workspaceModel.moduleBridge.update.option.ms,1692778003483000000,1692778022948000000,0
workspaceModel.global.updates.ms,1692778003483000000,1692778022948000000,0
workspaceModel.global.apply.state.to.project.ms,1692778003483000000,1692778022948000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1692778003483000000,1692778022948000000,16
workspaceModel.mutableEntityStorage.collect.changes.ms,1692778003483000000,1692778022948000000,460
jps.facet.change.listener.before.change.events.ms,1692778003483000000,1692778022948000000,98
jps.save.global.entities.ms,1692778003483000000,1692778022948000000,0
jps.global.get.library.by.name.ms,1692778003483000000,1692778022948000000,0
jps.app.storage.content.reader.load.component.ms,1692778003483000000,1692778022948000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1692778003483000000,1692778022948000000,1249
workspaceModel.moduleManagerBridge.newModule.ms,1692778003483000000,1692778022948000000,0
jps.global.initialize.library.bridges.ms,1692778003483000000,1692778022948000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1692778003483000000,1692778022948000000,22
workspaceModel.mutableEntityStorage.put.entity.ms,1692778003483000000,1692778022948000000,3956
workspaceModel.mutableEntityStorage.has.same.entities.ms,1692778003483000000,1692778022948000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1692778003483000000,1692778022948000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1692778003483000000,1692778022948000000,0
jps.global.get.libraries.ms,1692778003483000000,1692778022948000000,1
jps.global.initialize.library.bridges.after.loading.ms,1692778003483000000,1692778022948000000,0
jps.project.serializers.save.ms,1692778003483000000,1692778022948000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1692778003483000000,1692778022948000000,14189
jps.apply.loaded.storage.ms,1692778003483000000,1692778022948000000,2397
jps.save.changed.project.entities.ms,1692778003483000000,1692778022948000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1692778003483000000,1692778022948000000,282
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1692778003483000000,1692778022948000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1692778003483000000,1692778022948000000,0
workspaceModel.sync.entities.ms,1692778003483000000,1692778022948000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1692778003483000000,1692778022948000000,885
workspaceModel.mutableEntityStorage.entities.ms,1692778003483000000,1692778022948000000,7
jps.reload.project.entities.ms,1692778003483000000,1692778022948000000,0
jps.load.project.to.empty.storage.ms,1692778003483000000,1692778022948000000,5530
jps.load.initial.state.ms,1692778003483000000,1692778022948000000,4
jps.artifact.entities.serializer.save.entities.ms,1692778003483000000,1692778022948000000,0
AWTEventQueue.dispatchTimeTotalNS,1692778003483000000,1692778022948000000,8174185988
FlushQueue.queueSize90P,1692778003483000000,1692778022948000000,0
NonBlockingReadAction.failedExecutionsCount,1692778003483000000,1692778022948000000,5
AWTEventQueue.dispatchTimeAvgNs,1692778003483000000,1692778022948000000,0.0
FlushQueue.waitingTimeAvgNs,1692778003483000000,1692778022948000000,0.0
FlushQueue.executionTimeMaxNs,1692778003483000000,1692778022948000000,0
FlushQueue.executionTimeAvgNs,1692778003483000000,1692778022948000000,0.0
FlushQueue.executionTime90PNs,1692778003483000000,1692778022948000000,0
NonBlockingReadAction.failedExecutionTimeUs,1692778003483000000,1692778022948000000,1313466
FlushQueue.tasksExecuted,1692778003483000000,1692778022948000000,0
AWTEventQueue.dispatchTimeMaxNs,1692778003483000000,1692778022948000000,0
AWTEventQueue.dispatchTime90PNs,1692778003483000000,1692778022948000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1692778003483000000,1692778022948000000,724051
ReadAction.executionsCount,1692778003483000000,1692778022948000000,310984
AWTEventQueue.eventsDispatched,1692778003483000000,1692778022948000000,0
NonBlockingReadAction.finalizedExecutionsCount,1692778003483000000,1692778022948000000,31
FlushQueue.waitingTime90PNs,1692778003483000000,1692778022948000000,0
WriteAction.executionsCount,1692778003483000000,1692778022948000000,29
FlushQueue.queueSizeMax,1692778003483000000,1692778022948000000,0
FlushQueue.waitingTimeMaxNs,1692778003483000000,1692778022948000000,0
FlushQueue.queueSizeAvg,1692778003483000000,1692778022948000000,0.0
Indexes.stubs.lookupDurationMaxMs,1692778003483000000,1692778022948000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1692778003483000000,1692778022948000000,0.0
Indexes.allKeys.lookups,1692778003483000000,1692778022948000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1692778003483000000,1692778022948000000,0.0
IndexesFlusher.totalFlushingTimeUs,1692778003483000000,1692778022948000000,92640
VFSFlusher.totalFlushesRetried,1692778003483000000,1692778022948000000,0
VFSFlusher.totalFlushes,1692778003483000000,1692778022948000000,6
Indexes.stubs.lookups,1692778003483000000,1692778022948000000,0.0
Indexes.entries.lookups,1692778003483000000,1692778022948000000,0.0
Indexes.entries.lookupDurationMaxMs,1692778003483000000,1692778022948000000,0.0
Indexes.entries.lookupDuration90PMs,1692778003483000000,1692778022948000000,0.0
IndexesFlusher.totalFlushesRetried,1692778003483000000,1692778022948000000,0
IndexesFlusher.totalFlushes,1692778003483000000,1692778022948000000,18
IndexesFlusher.totalContentionQuotaSpent,1692778003483000000,1692778022948000000,0
VFSFlusher.totalContentionQuotaSpent,1692778003483000000,1692778022948000000,0
Indexes.stubs.lookupDurationAvgMs,1692778003483000000,1692778022948000000,0.0
Indexes.entries.lookupDurationAvgMs,1692778003483000000,1692778022948000000,0.0
Indexes.stubs.lookupDuration90PMs,1692778003483000000,1692778022948000000,0.0
VFSFlusher.totalFlushingTimeUs,1692778003483000000,1692778022948000000,168689
Indexes.allKeys.lookupDuration90PMs,1692778003483000000,1692778022948000000,0.0
workspaceModel.initializing.ms,1692778003483000000,1692778022948000000,18
workspaceModel.updates.ms,1692778003483000000,1692778022948000000,2445
workspaceModel.check.recursive.update.ms,1692778003483000000,1692778022948000000,0
workspaceModel.updates.precise.ms,1692778003483000000,1692778022948000000,1299
workspaceModel.updates.count,1692778003483000000,1692778022948000000,2
workspaceModel.pre.handlers.ms,1692778003483000000,1692778022948000000,282
workspaceModel.replace.project.model.ms,1692778003483000000,1692778022948000000,0
workspaceModel.init.bridges.ms,1692778003483000000,1692778022948000000,18
workspaceModel.loading.from.cache.ms,1692778003483000000,1692778022948000000,17
workspaceModel.loading.total.ms,1692778003483000000,1692778022948000000,26
workspaceModel.to.snapshot.ms,1692778003483000000,1692778022948000000,15
workspaceModel.update.unloaded.entities.ms,1692778003483000000,1692778022948000000,0
workspaceModel.collect.changes.ms,1692778003483000000,1692778022948000000,180
JVM.threadCount,1692778022948000000,1692778063492000000,159
JVM.totalCpuTimeMs,1692778022948000000,1692778063492000000,475990
JVM.usedNativeBytes,1692778022948000000,1692778063492000000,451754816
JVM.GC.collections,1692778022948000000,1692778063492000000,96
JVM.maxHeapBytes,1692778022948000000,1692778063492000000,8589934592
JVM.GC.collectionTimesMs,1692778022948000000,1692778063492000000,1313
JVM.maxNativeBytes,1692778022948000000,1692778063492000000,-1
OS.loadAverage,1692778022948000000,1692778063492000000,7.45849609375
JVM.usedHeapBytes,1692778022948000000,1692778063492000000,2297483776
FileNameCache.fastMisses,1692778022948000000,1692778063492000000,4662926
FileNameCache.queries,1692778022948000000,1692778063492000000,34287643
MappedFileStorage.totalBytesMapped,1692778022948000000,1692778063492000000,71303168
FileNameCache.totalMisses,1692778022948000000,1692778063492000000,16607
MappedFileStorage.storages,1692778022948000000,1692778063492000000,2
MappedFileStorage.totalPagesMapped,1692778022948000000,1692778063492000000,2
FilePageCache.maxRegisteredFiles,1692778022948000000,1692778063492000000,775
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1692778022948000000,1692778063492000000,385564672
StreamlinedBlobStorage.recordsAllocated,1692778022948000000,1692778063492000000,17151
StreamlinedBlobStorage.recordsDeleted,1692778022948000000,1692778063492000000,1864
FilePageCache.disposedBuffers,1692778022948000000,1692778063492000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1692778022948000000,1692778063492000000,0
DirectByteBufferAllocator.disposed,1692778022948000000,1692778063492000000,0
FilePageCache.pageFastCacheHits,1692778022948000000,1692778063492000000,625035
StorageLockContext.competingThreads.max,1692778022948000000,1692778063492000000,0
DirectByteBufferAllocator.reclaimed,1692778022948000000,1692778063492000000,0
DirectByteBufferAllocator.hits,1692778022948000000,1692778063492000000,0
StreamlinedBlobStorage.recordsRelocated,1692778022948000000,1692778063492000000,0
FilePageCache.pageHits,1692778022948000000,1692778063492000000,1012
StorageLockContext.competingThreads.avg,1692778022948000000,1692778063492000000,0.0
DirectByteBufferAllocator.misses,1692778022948000000,1692778063492000000,1658
FilePageCache.totalPageDisposalsUs,1692778022948000000,1692778063492000000,373
FilePageCache.capacityInBytes,1692778022948000000,1692778063492000000,629145600
FilePageCache.totalPageLoadsUs,1692778022948000000,1692778063492000000,71929
FilePageCache.uncachedFileAccess,1692778022948000000,1692778063492000000,2416
FilePageCache.maxCacheSizeInBytes,1692778022948000000,1692778063492000000,385564672
FilePageCache.pageLoads,1692778022948000000,1692778063492000000,1658
StorageLockContext.competingThreads.90P,1692778022948000000,1692778063492000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1692778022948000000,1692778063492000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1692778022948000000,1692778063492000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1692778022948000000,1692778063492000000,285793
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1692778022948000000,1692778063492000000,1093796
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1692778022948000000,1692778063492000000,47
workspaceModel.mutableEntityStorage.modify.entity.ms,1692778022948000000,1692778063492000000,1696
jps.global.get.library.ms,1692778022948000000,1692778063492000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1692778022948000000,1692778063492000000,0
workspaceModel.moduleBridge.before.changed.ms,1692778022948000000,1692778063492000000,61
workspaceModel.moduleManagerBridge.get.modules.ms,1692778022948000000,1692778063492000000,1
workspaceModel.mutableEntityStorage.add.diff.ms,1692778022948000000,1692778063492000000,3463
jps.library.entities.serializer.save.entities.ms,1692778022948000000,1692778063492000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1692778022948000000,1692778063492000000,3377
workspaceModel.save.cache.to.file.ms,1692778022948000000,1692778063492000000,4595
workspaceModel.delayed.project.synchronizer.sync.ms,1692778022948000000,1692778063492000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1692778022948000000,1692778063492000000,44
workspaceModel.moduleManagerBridge.create.module.instance.ms,1692778022948000000,1692778063492000000,0
jps.storage.jps.conf.reader.load.component.ms,1692778022948000000,1692778063492000000,19118
workspaceModel.orphan.listener.update.ms,1692778022948000000,1692778063492000000,4
jps.global.handle.changed.events.ms,1692778022948000000,1692778063492000000,0
jps.module.iml.entities.serializer.load.entities.ms,1692778022948000000,1692778063492000000,11503
jps.facet.change.listener.init.bridge.ms,1692778022948000000,1692778063492000000,11
workspaceModel.moduleBridgeLoader.loading.modules.ms,1692778022948000000,1692778063492000000,13457
jps.facet.change.listener.process.change.events.ms,1692778022948000000,1692778063492000000,107
jps.module.iml.entities.serializer.save.entities.ms,1692778022948000000,1692778063492000000,0
jps.global.handle.before.change.events.ms,1692778022948000000,1692778063492000000,0
workspaceModel.global.updates.count,1692778022948000000,1692778063492000000,0
jps.app.storage.content.writer.save.component.ms,1692778022948000000,1692778063492000000,0
jps.project.serializers.load.ms,1692778022948000000,1692778063492000000,5296
jps.artifact.entities.serializer.load.entities.ms,1692778022948000000,1692778063492000000,9465
workspaceModel.moduleManagerBridge.load.module.ms,1692778022948000000,1692778063492000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1692778022948000000,1692778063492000000,2
workspaceModel.load.cache.from.file.ms,1692778022948000000,1692778063492000000,0
jps.library.entities.serializer.load.entities.ms,1692778022948000000,1692778063492000000,7185
workspaceModel.moduleBridge.update.option.ms,1692778022948000000,1692778063492000000,0
workspaceModel.global.updates.ms,1692778022948000000,1692778063492000000,0
workspaceModel.global.apply.state.to.project.ms,1692778022948000000,1692778063492000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1692778022948000000,1692778063492000000,43
workspaceModel.mutableEntityStorage.collect.changes.ms,1692778022948000000,1692778063492000000,478
jps.facet.change.listener.before.change.events.ms,1692778022948000000,1692778063492000000,98
jps.save.global.entities.ms,1692778022948000000,1692778063492000000,0
jps.global.get.library.by.name.ms,1692778022948000000,1692778063492000000,0
jps.app.storage.content.reader.load.component.ms,1692778022948000000,1692778063492000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1692778022948000000,1692778063492000000,4145
workspaceModel.moduleManagerBridge.newModule.ms,1692778022948000000,1692778063492000000,0
jps.global.initialize.library.bridges.ms,1692778022948000000,1692778063492000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1692778022948000000,1692778063492000000,28
workspaceModel.mutableEntityStorage.put.entity.ms,1692778022948000000,1692778063492000000,4493
workspaceModel.mutableEntityStorage.has.same.entities.ms,1692778022948000000,1692778063492000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1692778022948000000,1692778063492000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1692778022948000000,1692778063492000000,0
jps.global.get.libraries.ms,1692778022948000000,1692778063492000000,1
jps.global.initialize.library.bridges.after.loading.ms,1692778022948000000,1692778063492000000,0
jps.project.serializers.save.ms,1692778022948000000,1692778063492000000,8
workspaceModel.mutableEntityStorage.add.entity.ms,1692778022948000000,1692778063492000000,15762
jps.apply.loaded.storage.ms,1692778022948000000,1692778063492000000,2397
jps.save.changed.project.entities.ms,1692778022948000000,1692778063492000000,8
workspaceModel.mutableEntityStorage.entities.by.source.ms,1692778022948000000,1692778063492000000,323
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1692778022948000000,1692778063492000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1692778022948000000,1692778063492000000,0
workspaceModel.sync.entities.ms,1692778022948000000,1692778063492000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1692778022948000000,1692778063492000000,1075
workspaceModel.mutableEntityStorage.entities.ms,1692778022948000000,1692778063492000000,8
jps.reload.project.entities.ms,1692778022948000000,1692778063492000000,6993
jps.load.project.to.empty.storage.ms,1692778022948000000,1692778063492000000,5530
jps.load.initial.state.ms,1692778022948000000,1692778063492000000,4
jps.artifact.entities.serializer.save.entities.ms,1692778022948000000,1692778063492000000,0
AWTEventQueue.dispatchTimeTotalNS,1692778022948000000,1692778063492000000,30536658594
FlushQueue.queueSize90P,1692778022948000000,1692778063492000000,0
NonBlockingReadAction.failedExecutionsCount,1692778022948000000,1692778063492000000,40
AWTEventQueue.dispatchTimeAvgNs,1692778022948000000,1692778063492000000,0.0
FlushQueue.waitingTimeAvgNs,1692778022948000000,1692778063492000000,0.0
FlushQueue.executionTimeMaxNs,1692778022948000000,1692778063492000000,0
FlushQueue.executionTimeAvgNs,1692778022948000000,1692778063492000000,0.0
FlushQueue.executionTime90PNs,1692778022948000000,1692778063492000000,0
NonBlockingReadAction.failedExecutionTimeUs,1692778022948000000,1692778063492000000,26960128
FlushQueue.tasksExecuted,1692778022948000000,1692778063492000000,0
AWTEventQueue.dispatchTimeMaxNs,1692778022948000000,1692778063492000000,0
AWTEventQueue.dispatchTime90PNs,1692778022948000000,1692778063492000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1692778022948000000,1692778063492000000,8944457
ReadAction.executionsCount,1692778022948000000,1692778063492000000,2688285
AWTEventQueue.eventsDispatched,1692778022948000000,1692778063492000000,0
NonBlockingReadAction.finalizedExecutionsCount,1692778022948000000,1692778063492000000,20
FlushQueue.waitingTime90PNs,1692778022948000000,1692778063492000000,0
WriteAction.executionsCount,1692778022948000000,1692778063492000000,22583
FlushQueue.queueSizeMax,1692778022948000000,1692778063492000000,0
FlushQueue.waitingTimeMaxNs,1692778022948000000,1692778063492000000,0
FlushQueue.queueSizeAvg,1692778022948000000,1692778063492000000,0.0
Indexes.stubs.lookupDurationMaxMs,1692778022948000000,1692778063492000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1692778022948000000,1692778063492000000,0.0
Indexes.allKeys.lookups,1692778022948000000,1692778063492000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1692778022948000000,1692778063492000000,0.0
IndexesFlusher.totalFlushingTimeUs,1692778022948000000,1692778063492000000,266217
VFSFlusher.totalFlushesRetried,1692778022948000000,1692778063492000000,0
VFSFlusher.totalFlushes,1692778022948000000,1692778063492000000,23
Indexes.stubs.lookups,1692778022948000000,1692778063492000000,0.0
Indexes.entries.lookups,1692778022948000000,1692778063492000000,0.0
Indexes.entries.lookupDurationMaxMs,1692778022948000000,1692778063492000000,0.0
Indexes.entries.lookupDuration90PMs,1692778022948000000,1692778063492000000,0.0
IndexesFlusher.totalFlushesRetried,1692778022948000000,1692778063492000000,0
IndexesFlusher.totalFlushes,1692778022948000000,1692778063492000000,33
IndexesFlusher.totalContentionQuotaSpent,1692778022948000000,1692778063492000000,0
VFSFlusher.totalContentionQuotaSpent,1692778022948000000,1692778063492000000,0
Indexes.stubs.lookupDurationAvgMs,1692778022948000000,1692778063492000000,0.0
Indexes.entries.lookupDurationAvgMs,1692778022948000000,1692778063492000000,0.0
Indexes.stubs.lookupDuration90PMs,1692778022948000000,1692778063492000000,0.0
VFSFlusher.totalFlushingTimeUs,1692778022948000000,1692778063492000000,274627
Indexes.allKeys.lookupDuration90PMs,1692778022948000000,1692778063492000000,0.0
workspaceModel.initializing.ms,1692778022948000000,1692778063492000000,19
workspaceModel.updates.ms,1692778022948000000,1692778063492000000,6571
workspaceModel.check.recursive.update.ms,1692778022948000000,1692778063492000000,1
workspaceModel.updates.precise.ms,1692778022948000000,1692778063492000000,4214
workspaceModel.updates.count,1692778022948000000,1692778063492000000,5
workspaceModel.pre.handlers.ms,1692778022948000000,1692778063492000000,293
workspaceModel.replace.project.model.ms,1692778022948000000,1692778063492000000,0
workspaceModel.init.bridges.ms,1692778022948000000,1692778063492000000,19
workspaceModel.loading.from.cache.ms,1692778022948000000,1692778063492000000,17
workspaceModel.loading.total.ms,1692778022948000000,1692778063492000000,26
workspaceModel.to.snapshot.ms,1692778022948000000,1692778063492000000,27
workspaceModel.update.unloaded.entities.ms,1692778022948000000,1692778063492000000,0
workspaceModel.collect.changes.ms,1692778022948000000,1692778063492000000,187
